1 0 1 2 3 0 0 1 0 | 10 10 7.84998 10 
3 1 1 0 1 0 4 0 0 | 10 -43.3863 10 10 
0 2 1 3 4 0 4 0 0 | 10 -50.9 10 10 
4 4 1 2 4 0 0 0 0 | 10 10 10 12.1 
1 0 3 1 0 0 0 3 0 | 10 10.5438 10 10 
0 4 1 3 1 0 4 0 0 | 10 -50.2733 10 10 
3 1 3 0 0 0 2 0 0 | -50.9 10 10 10 
0 2 2 2 1 1 0 0 0 | 10 10 13.7123 10 
1 4 0 1 2 3 0 0 0 | 10 10 10 33.1331 
1 4 1 2 4 0 0 1 0 | 10 -42.7549 10 10 
3 1 3 0 0 3 0 0 0 | -30.0255 10 10 10 
3 0 1 2 0 0 0 0 4 | 10 -52.2232 10 10 
4 1 2 3 0 2 0 0 0 | 10 9.50086 10 10 
1 0 1 1 4 0 4 0 0 | 10 10 -51.4402 10 
2 1 1 4 1 0 2 0 0 | -50.9 10 10 10 
2 1 1 0 3 0 2 0 0 | 10 -50.9 10 10 
2 2 0 1 3 0 1 0 0 | 3.4 10 10 10 
0 2 1 4 2 0 0 1 0 | 10 -54.3796 10 10 
3 3 0 1 1 0 0 3 0 | 10 10 10 -56 
3 0 1 4 2 0 0 1 0 | 10 -54.3403 10 10 
2 0 1 3 2 1 0 0 0 | 10 10 10 8.31433 
4 1 0 4 1 0 2 0 0 | -51.6635 10 10 10 
4 1 2 2 0 0 0 0 3 | 10 9.95261 10 10 
0 1 2 2 1 0 0 4 0 | -49.7705 10 10 10 
2 1 0 2 1 0 0 0 3 | 10 38.4044 10 10 
3 0 1 4 2 4 0 0 0 | 10 10 38.0463 10 
0 1 0 4 3 0 0 0 1 | 10 27.8274 10 10 
3 0 1 2 2 4 0 0 0 | 10 10 10 10.5892 
0 1 4 1 3 0 1 0 0 | 10 -7.50209 10 10 
1 2 1 1 0 0 2 0 0 | 10 10 -49.9609 10 
2 1 2 0 1 0 0 0 4 | -41.2494 10 10 10 
0 3 4 0 1 1 0 0 0 | 10 10 33.3622 10 
3 1 2 0 2 0 3 0 0 | 10 10 42.7929 10 
4 1 3 4 0 0 0 0 3 | 10 10 10 12.1 
2 1 2 3 3 0 0 4 0 | -28.2715 10 10 10 
0 2 1 4 3 0 0 0 4 | 7.54141 10 10 10 
0 0 2 1 4 0 4 0 0 | 10 10 -52.953 10 
3 1 0 1 4 0 1 0 0 | 10 10 -38.2328 10 
0 4 3 1 0 2 0 0 0 | 8.5 10 10 10 
4 1 1 1 2 0 4 0 0 | -45.4819 10 10 10 
4 1 2 0 4 0 0 0 3 | 10 10 10 7 
2 1 0 2 3 0 0 3 0 | 10 21.1173 10 10 
0 2 1 4 1 4 0 0 0 | 10 -53.9939 10 10 
3 0 1 2 3 1 0 0 0 | 10 10 17.2229 10 
0 2 2 1 1 0 0 0 4 | 10 12.4031 10 10 
2 4 4 4 1 0 0 0 0 | 12.1545 10 10 10 
0 4 4 1 0 0 2 0 0 | 10 3.4 10 10 
3 0 1 3 1 0 0 4 0 | 10 10 10 -50.9 
2 0 4 1 0 0 0 0 3 | 10 10 10 10.5943 
1 1 0 2 1 0 3 0 0 | 10 10 20.263 10 
1 2 0 1 1 0 4 0 0 | 10 3.4 10 10 
2 3 1 4 0 1 0 0 0 | -4.47033 10 10 10 
0 1 4 2 3 0 2 0 0 | -50.9 10 10 10 
3 1 4 0 2 0 0 2 0 | -52.0305 10 10 10 
1 4 2 1 4 0 0 0 0 | 10 8.5 10 10 
2 1 3 0 1 0 0 0 3 | 10 51.3705 10 10 
1 1 0 3 2 0 2 0 0 | 10 10 10 13.4423 
3 3 0 1 0 0 0 0 2 | 14.4235 10 10 10 
3 1 0 3 3 0 4 0 0 | -53.9756 10 10 10 
0 1 0 3 3 0 4 0 0 | 10 10 10 16.2052 
1 2 1 0 3 0 2 0 0 | 10 -50.9 10 10 
3 1 2 3 0 0 0 2 0 | 10 11.2295 10 10 
1 3 3 2 1 0 0 0 0 | 10 10 10 -52.1782 
2 4 1 2 2 0 0 0 0 | 13.0543 10 10 10 
0 2 3 1 3 0 4 0 0 | 10 10 10 8.5 
1 0 4 4 1 1 0 0 0 | 14.7981 10 10 10 
1 3 0 1 1 0 2 0 0 | 10 10 -40.6315 10 
0 2 4 3 1 0 0 1 0 | 10 10 10 -51.5722 
3 1 0 0 3 0 1 0 0 | 10 10 10 14.1009 
4 1 1 1 0 0 4 0 0 | 10 10 10 28.503 
2 1 1 0 3 0 0 0 2 | 10 10 11.3134 10 
2 2 0 0 1 3 0 0 0 | 10 12.1 10 10 
2 1 1 4 0 0 3 0 0 | 10 10 14.2673 10 
2 1 0 1 2 0 0 0 4 | 10 38.6101 10 10 
1 4 1 4 1 0 0 0 3 | 41.5372 10 10 10 
0 1 4 0 4 0 0 3 0 | 10 10 10 8.94478 
1 2 0 1 0 0 3 0 0 | 10 10 -41.6258 10 
1 2 1 3 2 0 0 2 0 | 10 10 10 3.4 
0 2 4 0 1 0 0 4 0 | 10 21.0861 10 10 
3 2 0 2 1 0 1 0 0 | 10 -3.07752 10 10 
2 4 3 3 1 0 0 0 0 | 19.1292 10 10 10 
0 2 4 2 1 0 2 0 0 | 10 10 10 -51.7269 
4 0 2 0 1 0 0 3 0 | 10.6046 10 10 10 
4 1 0 4 2 0 0 0 4 | 10 10 6.89001 10 
2 2 2 3 1 0 0 0 0 | 13.5739 10 10 10 
2 1 4 2 1 0 1 0 0 | 10 10 10 -44.7404 
0 2 2 1 1 0 0 0 3 | 5.05168 10 10 10 
2 4 1 0 1 0 0 0 2 | 10 10 10 -53.2359 
4 2 1 1 2 0 2 0 0 | 10 10 10 59.554 
3 3 1 1 3 0 0 0 2 | 10 10 10 3.4 
1 1 2 1 3 4 0 0 0 | 10 6.61897 10 10 
3 1 0 1 3 0 1 0 0 | 10 10 10 25.2158 
4 1 2 1 4 0 4 0 0 | 10 10 10 27.0272 
4 0 1 1 0 0 0 2 0 | 9.09237 -37.8264 -50.9 12.1 
2 2 0 2 1 0 3 0 0 | 10 12.7138 10 10 
2 1 4 0 4 0 1 0 0 | 10 10 21.4044 10 
1 0 1 3 1 0 0 0 4 | 35.2357 10 10 10 
1 4 0 1 3 1 0 0 0 | 15.0277 10 -50.3979 10 
2 0 4 1 1 0 0 0 3 | 10 10 -47.3316 10 
0 4 1 1 2 1 0 0 0 | 10 10 10 10.908 
3 1 0 1 0 0 4 0 0 | -50.6521 10 10 10 
0 1 3 4 0 0 0 0 2 | 10 10 10 13.9344 
1 3 4 1 0 2 0 0 0 | 10 10 -53.6929 10 
2 0 2 3 1 4 0 0 0 | 10 10 10 -54.408 
4 3 0 2 1 0 2 0 0 | 10 10 10 -52.51 
0 1 3 4 1 4 0 0 0 | 10 10 10 -54.5773 
2 4 4 0 1 0 0 4 0 | 10 44.0892 10 10 
2 3 3 0 1 4 0 0 0 | 3.4 10 10 10 
1 2 3 4 1 3 0 0 0 | 10 10 9.06395 10 
2 0 3 1 1 3 0 0 0 | 3.4 10 10 10 
0 3 1 4 1 4 0 0 0 | 10 -49.8837 10 10 
4 1 3 1 3 0 0 0 2 | 10 10 10 43.9699 
4 1 0 0 1 0 1 0 0 | -52.1742 10 10 10 
2 0 1 1 1 0 4 0 0 | 7.69303 10 10 10 
0 4 1 4 1 0 0 1 0 | 10 10 10 -54.2133 
