0 0 1 3 1 0 0 0 0 | 10 10 10 -50.9 
0 1 1 4 0 0 0 0 0 | 10 10 3.4 10 
0 4 0 0 1 0 0 0 0 | 10 10 10 -50.9 
2 2 0 0 1 0 0 0 0 | 3.4 10 10 10 
3 2 1 0 1 0 0 0 0 | 10 -50.9 10 10 
1 0 4 0 1 0 0 0 3 | 7 10 10 10 
4 0 1 4 0 0 0 0 0 | 3.4 10 10 10 
3 1 2 0 2 0 0 0 0 | 10 8.5 10 10 
1 0 1 3 0 0 0 0 0 | 10 10 8.5 10 
4 0 1 2 0 0 0 0 0 | 10 10 10 48.7 
0 0 3 2 1 0 0 0 0 | 3.4 10 10 10 
3 2 1 0 0 0 0 0 0 | 10 -50.9 10 10 
0 1 4 3 0 0 0 0 0 | -50.9 10 10 10 
3 0 0 1 0 0 0 0 0 | 7.735 10 10 8.5 
0 0 1 0 2 0 0 3 0 | 10 10 3.4 10 
0 0 1 1 2 0 0 0 0 | 8.5 10 10 10 
0 0 1 1 3 0 0 0 0 | 10 10 10 3.4 
1 1 2 4 0 0 0 0 0 | -50.9 10 10 10 
2 0 3 0 1 0 0 0 0 | 3.4 10 10 10 
4 0 1 0 0 0 0 0 0 | 10 10 10 39.1 
3 0 4 1 1 0 0 0 0 | 10 8.5 10 10 
3 1 4 0 2 0 0 0 0 | 10 10 10 3.4 
0 2 1 4 0 0 0 0 0 | 10 -50.9 10 10 
0 1 1 0 2 0 0 0 0 | -50.9 -50.9 7.735 10 
0 2 1 0 2 0 0 0 0 | 3.4 10 10 10 
0 0 1 3 0 0 0 0 0 | 10 -50.9 10 10 
1 1 4 0 4 0 0 0 0 | 10 10 3.4 10 
3 2 0 0 1 0 0 0 0 | 3.4 10 10 10 
0 1 0 2 0 0 1 0 0 | 10 10 10 3.4 
0 1 1 0 1 0 0 0 0 | -50.9 -50.9 10 10 
0 0 1 1 1 0 0 0 0 | 8.5 10 10 10 
0 0 0 1 0 2 0 0 0 | 10 3.4 10 10 
4 3 1 2 1 0 0 0 0 | 10 10 3.4 10 
0 0 4 0 1 4 0 0 0 | 10 10 10 -50.9 
2 1 0 3 0 0 0 0 0 | 10 34 10 10 
4 1 1 0 0 0 0 1 0 | -56 10 10 10 
2 1 0 0 3 0 0 0 0 | -50.9 10 10 10 
2 4 0 0 1 0 0 0 0 | 10 7 10 10 
0 1 1 1 0 0 0 0 0 | 10 10 -50.9 10 
0 3 1 2 0 0 0 0 0 | 10 -56 10 10 
3 1 1 0 4 0 0 0 0 | 10 10 10 3.4 
0 2 0 1 0 0 0 0 0 | 8.5 3.4 -50.9 8.5 
2 2 1 0 0 0 0 0 0 | 10 10 10 3.4 
0 1 0 2 0 0 0 0 0 | -50.9 10 10 10 
4 1 0 1 0 0 0 0 0 | 10 3.4 10 10 
4 1 1 1 0 0 0 0 0 | 10 10 10 7 
1 0 1 1 3 0 0 0 0 | 10 10 -56 10 
0 1 0 0 3 0 0 0 0 | -50.9 8.5 8.5 10 
0 0 4 1 1 0 0 0 0 | 3.4 3.4 10 10 
2 3 0 0 1 0 0 0 0 | 10 10 8.5 10 
0 0 4 1 4 0 0 0 0 | 3.4 10 10 10 
1 4 0 2 1 0 0 0 4 | 34 10 10 10 
0 1 0 0 2 0 0 0 0 | -50.9 3.4 3.4 8.5 
