0 2 0 1 3 0 0 0 0 | 3.4 10 10 10 
0 1 0 0 4 0 0 0 0 | 10 10 10 3.4 
0 1 0 1 4 0 0 0 0 | 10 3.4 10 10 
2 1 0 1 0 0 0 0 0 | 10 10 10 3.4 
0 1 1 4 0 0 0 0 0 | 10 -56 10 10 
0 1 1 0 3 0 0 0 0 | 10 10 3.4 10 
2 0 3 1 0 0 0 0 0 | 10 7 10 10 
0 1 3 3 0 0 0 0 0 | 10 10 10 3.4 
1 3 0 0 1 0 0 0 0 | 10 10 3.4 10 
0 0 1 1 1 0 0 0 0 | 10 -56 10 10 
0 3 0 0 1 0 0 0 0 | 10 10 10 -50.9 
2 1 2 4 0 0 0 0 0 | 10 34 10 10 
0 0 4 0 1 0 0 2 0 | 3.4 10 10 10 
1 0 3 0 1 0 0 0 0 | 7 10 10 -50.9 
0 1 4 0 0 0 0 3 0 | 10 10 3.4 10 
0 0 2 0 1 0 0 0 0 | 3.4 10 8.5 10 
2 3 1 0 3 0 0 0 0 | 10 10 3.4 10 
0 3 0 1 2 0 0 0 0 | 10 10 10 3.4 
0 3 1 0 4 0 0 0 0 | 10 -50.9 10 10 
0 1 0 0 1 0 0 0 0 | -50.9 10 10 10 
3 4 1 0 0 0 0 0 0 | 10 10 10 3.4 
0 0 3 0 1 0 0 0 0 | 10 10 8.5 10 
0 1 4 3 0 0 0 0 0 | 10 3.4 10 10 
3 4 0 1 4 0 0 0 0 | 3.4 10 10 10 
0 0 0 3 1 0 0 0 0 | 10 3.4 10 10 
0 0 1 0 0 0 0 0 0 | 8.5 -50.9 3.4 10 
0 3 0 1 1 0 0 0 0 | 10 10 -50.9 10 
0 1 4 1 0 0 0 0 0 | 10 10 -56 10 
2 1 3 0 0 0 0 0 0 | 10 10 3.4 10 
2 0 0 4 1 0 0 0 0 | 10 10 3.4 10 
1 0 0 3 1 0 0 0 0 | 10 3.4 10 10 
1 1 0 3 0 0 0 0 0 | 10 3.4 10 10 
1 1 4 3 0 0 0 0 0 | 10 10 10 3.4 
0 1 0 0 3 0 0 0 0 | 10 10 10 3.4 
0 0 4 1 0 0 0 0 0 | 10 3.4 10 10 
0 1 3 4 0 0 0 0 0 | 10 3.4 10 10 
0 0 1 0 4 0 0 0 0 | 10 10 3.4 10 
0 1 2 4 0 0 0 0 0 | -50.9 10 10 10 
1 0 1 0 0 0 0 0 0 | 39.1 10 10 10 
